,Unnamed: 0,BUDGETYEAR,BUDGET CATEGORY,TYPE OF EXPENDITURE,GOVERNMENT AGENCY,ESTIMATED BUDGET
32,32.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,MINES & STEEL DEVELOPMENT,11512637069.0
33,33.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,AVIATION,6414115291.0
34,34.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES  COMMISSION",741586918.0
35,35.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,ENVIRONMENT,12580318277.0
36,36.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,CULTURE & NOA,17216793821.0
37,37.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL PLANNING COMMISSION,5299236399.0
38,38.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NATIONAL SPORTS COMMISSION,10696143045.0
39,39.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,50860044639.0
40,40.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,NIGER-DELTA,3229809338.0
41,41.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,SPECIAL DUTIES,379923683.0
42,42.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,FISCAL RESPONSIBILTY COMMISSION,552826355.0
43,43.0,2011.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,1077524318.0
44,44.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,NATIONAL POPULATION COMMISSION,5181890896.0
45,45.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT BUREAU,1469288717.0
46,46.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,CODE OF CONDUCT TRIBUNAL,359683680.0
47,47.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,2233580471.0
48,48.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1949683412.0
49,49.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1118384880.0
50,50.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,POLICE SERVICE COMMISSSION,789418435.0
51,51.0,2011.0,LEGISLATIVE ARM,RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),38278955577.0
52,52.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,FEDERAL CHARACTER COMMISSION,2051006372.0
53,54.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY OFFICE,9591065919.0
54,55.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,SENATE,29041279068.0
55,56.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,HOUSE OF REPRESENTATIVES,46215108931.0
56,57.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION,1227455661.0
57,58.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,LEGISLATIVE AIDES,7728304827.0
58,59.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,SENATE COMMITTEE ON PUBLIC ACCOUNTS,128261769.0
59,60.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,HOUSE COMMITTEE ON PUBLIC ACCOUNTS,138950249.0
60,61.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,GENERAL SERVICE OFFICE,13960147537.0
61,62.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,SUB TOTAL: NASS,108000000000.0
62,63.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),23150000000.0
63,64.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS,22500000000.0
64,65.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST INCLUDING VERIFICATION EXERCISE IN 2011,400000000.0
65,66.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,REINBURSEMENT TO STATES,250000000.0
66,67.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,MILITARY PENSIONS AND GRATUITIES (DMP),48154513564.0
67,68.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,MILITARY PENSION,47739513564.0
68,69.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST ADMIN CHARGES/YEARLY VERIFICATION EXERCISE,415000000.0
69,70.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,POLICE PENSIONS AND GRATUITIES,19171907968.0
70,71.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS,19091907968.0
71,72.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST,80000000.0
72,73.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,"CUSTOMS, IMMIGRATION AND PRISONS PENSION OFFICE",6540000000.0
73,74.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (1),6500000000.0
74,75.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST,40000000.0
75,76.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,UNIVERSITIES' PENSIONS INCLUDING ARREARS,15000000000.0
76,77.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (2),15000000000.0
77,78.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PARASTATALS' PENSION AND RAILWAY PENSIONS,35000000000.0
78,79.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS,35000000000.0
79,80.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PRE-1996 NIGERIA RAILWAY CORPORATION PENSION,1897281034.0
80,81.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (3),1857281034.0
81,82.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSION RUNNING COST,40000000.0
82,83.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,DEPARTMENT OF STATE SECURITY,1698013135.0
83,84.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (INCLUDING ARREARS),1698013135.0
84,85.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,NIGERIA INTELLIGENCE AGENCY,2550052390.0
85,86.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PENSIONS (4) ,2550052390.0
86,88.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF PAYG PENSION,19000000000.0
87,89.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,INCREASES IN PENSION RATES,34000000000.0
88,90.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,IPPIS (OAGF AND HEAD OF SERVICE),2500000000.0
89,91.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,PAYMENT OF OUTSTANDING DEATH BENEFIT TO CIVIL SERVANTS,1900000000.0
90,92.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,COST),72366977130.0
91,93.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF SALARY INCREASES OF 2010 (REDEMPTION FUND),10800000000.0
92,94.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,ARREARS OF ARMED FORCES DEATH BENEFITS (2004 - 2010),8807027070.0
93,95.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,GROUP LIFE INSURANCE FOR ALL MDAs,12687000000.0
94,96.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,ADMINISTRATION AND MONITORING (OHCSF),50000000.0
95,97.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,COMMISSIONERS),41496000000.0
96,98.0,2011.0,OTHERS,RECURRENT  EXPENDITURE,OPERATIONS - INTERNAL AND EXTERNAL FOR THE ARMED FORCES,17008462928.0
97,99.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,JUDGEMENT DEBTS,10000000000.0
98,100.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTRIBUTION TO INTERNATIONAL ORGANISATIONS,5500000000.0
99,101.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,EXTERNAL FINANCIAL OBLIGATIONS,13100000000.0
100,102.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MARGIN FOR INCREASES IN COSTS,5000000000.0
101,103.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,CONTINGENCY,12000000000.0
102,104.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,BENEFITS OF CIVIL SERVANTS),5000000000.0
103,105.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,BIO-METRIC VERIFICATION OF PARASTATALS' PENSIONERS,600000000.0
104,106.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MULTI YEAR TARIFF ORDER,37000000000.0
105,107.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PHASE I: PROGRAM AND PROJECT PORTFOLIO MANAGEMENT FOR PILOT MDAs,1200000000.0
106,108.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,MUSLIM/CHRISTIAN PILGRIMAGES,2000000000.0
107,109.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,RECURRENT ADJUSTMENT,4000000000.0
108,110.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,2011 ELECTION - LOGISTICS SUPPORT,3000000000.0
109,111.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENTIAL AMNESTY PROGRAMME STIPENDS AND FEEDINGS ALLOWANCE,17000000000.0
110,112.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,RE-INTEGRATION OF NIGER-DELTA EX-MILITANTS,35722569121.0
111,113.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OPERATIONS COST OF THE PROGRAMME,1947509500.0
112,114.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,RE-INTEGRATION OF TRANSFORMED NIGER-DELTA EX-MILITANTS (2010 ARREARS,17524493281.0
113,115.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,RE-INSERTION/TRANSITION SAFETY ALLOWANCE FOR ,20192000000.0
114,116.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TRANSFORMED EX-MILITANTS (2010 ARREARS),6500000000.0
115,117.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TOTAL SERVICE WIDE VOTES,398000000000.0
116,118.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TOTAL CRF CHARGES,551000000000.0
117,119.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,TOTAL RECURRENT (NON-DEBT),2480000000000.0
118,120.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,PRESIDENCY,12887671733.0
119,121.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDERATION (SGF),5959156550.0
120,122.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,YOUTH DEVELOPMENT,3063996178.0
121,123.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE AFFAIRS,360653576.0
122,124.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,POLICE FORMATION AND COMMANDS,11167308567.0
123,125.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,WOMEN AFFAIRS,750000000.0
124,126.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,29463299475.0
125,127.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,WATER RESOURCES,24754983806.0
126,128.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,1991253812.0
127,129.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND RELATED OFFENCES COMMISSION,162042482.0
128,130.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,25194705572.0
129,131.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,EDUCATION,35088896911.0
130,132.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FEDERAL CAPITAL TERRITORY ADMINISTRARTION,44183583306.0
131,133.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FOREIGN AND INTERGOVERNMENTAL AFFAIRS,6247567828.0
132,134.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,FINANCE,3069155914.0
133,135.0,2011.0,EXECUTIVE ARM,CAPITAL EXPENDITURE,HEALTH,33527630328.0
134,136.0,2011.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,COMMERCE AND INDUSTRY,1153960899.0
135,137.0,2011.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,INFORMATION AND COMMUNICATIONS,1381952297.0
136,138.0,2011.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,INTERIOR,5846331051.0
137,139.0,2011.0,LEGISLATIVE ARM,CAPITAL EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,6859798386.0
138,140.0,2011.0,OTHERS,CAPITAL EXPENDITURE,JUSTICE,407789102.0
139,141.0,2011.0,OTHERS,CAPITAL EXPENDITURE,LABOUR AND PRODUCTIVITY,465870838.0
140,142.0,2011.0,OTHERS,CAPITAL EXPENDITURE,POWER,86250646800.0
141,143.0,2011.0,OTHERS,CAPITAL EXPENDITURE,SCIENCE & TECHNOLOGY,5127005964.0
142,144.0,2011.0,OTHERS,CAPITAL EXPENDITURE,TRANSPORT,48904463237.0
143,145.0,2011.0,OTHERS,CAPITAL EXPENDITURE,PETROLEUM RESOURCES,10273199805.0
144,146.0,2011.0,OTHERS,CAPITAL EXPENDITURE,WORKS,137000000000.0
145,147.0,2011.0,OTHERS,CAPITAL EXPENDITURE,LANDS & HOUSING,17068474724.0
146,148.0,2011.0,OTHERS,CAPITAL EXPENDITURE,MINES & STEEL DEVELOPMENT,2242287981.0
147,149.0,2011.0,OTHERS,CAPITAL EXPENDITURE,AVIATION,20741977781.0
148,150.0,2011.0,OTHERS,CAPITAL EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES  COMMISSION",108028321.0
149,151.0,2011.0,OTHERS,CAPITAL EXPENDITURE,ENVIRONMENT,4751839421.0
150,152.0,2011.0,OTHERS,CAPITAL EXPENDITURE,CULTURE & NOA,2493050000.0
151,153.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL PLANNING COMMISSION,1478969528.0
152,154.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL SPORTS COMMISSION,1134297371.0
153,155.0,2011.0,OTHERS,CAPITAL EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,54380603628.0
154,156.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NIGER-DELTA,53400001680.0
155,157.0,2011.0,OTHERS,CAPITAL EXPENDITURE,SPECIAL DUTIES,52800000.0
156,158.0,2011.0,OTHERS,CAPITAL EXPENDITURE,FISCAL RESPONSIBILTY COMMISSION,162042482.0
157,159.0,2011.0,OTHERS,CAPITAL EXPENDITURE,INFRASTRUCTURE CONCESSION REGULATORY COMMISSION,86422657.0
158,160.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL POPULATION COMMISSION,324230453.0
159,161.0,2011.0,OTHERS,CAPITAL EXPENDITURE,CODE OF CONDUCT BUREAU,954038409.0
160,162.0,2011.0,OTHERS,CAPITAL EXPENDITURE,CODE OF CONDUCT TRIBUNAL,82417563.0
161,163.0,2011.0,OTHERS,CAPITAL EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,162115226.0
162,164.0,2011.0,OTHERS,CAPITAL EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,299000000.0
163,165.0,2011.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,54038409.0
164,166.0,2011.0,OTHERS,CAPITAL EXPENDITURE,POLICE SERVICE COMMISSSION,60400000.0
165,167.0,2011.0,OTHERS,CAPITAL EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),7114878288.0
166,168.0,2011.0,OTHERS,CAPITAL EXPENDITURE,FEDERAL CHARACTER COMMISSION,108076818.0
167,169.0,2011.0,OTHERS,CAPITAL EXPENDITURE,SUB-TOTAL: FEDERAL EXECUTIVE BODIES,9159195166.0
168,170.0,2011.0,OTHERS,CAPITAL EXPENDITURE,THE LEGISLATURE (NATIONAL ASSEMLY OFFICE),594155766.0
169,171.0,2011.0,OTHERS,CAPITAL EXPENDITURE,SENATE,540141605.0
170,172.0,2011.0,OTHERS,CAPITAL EXPENDITURE,HOUSE OF REPRESENTATIVES,1674438976.0
171,173.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL ASSEMBLY SERVICE COMMISSION,108028321.0
172,174.0,2011.0,OTHERS,CAPITAL EXPENDITURE,LEGISLATIVE AIDES,162042482.0
173,175.0,2011.0,OTHERS,CAPITAL EXPENDITURE,GENERAL SERVICE OFFICE,135035401.0
174,176.0,2011.0,OTHERS,CAPITAL EXPENDITURE,SUB TOTAL: NASS,3213842551.0
175,177.0,2011.0,OTHERS,CAPITAL EXPENDITURE,CAPITAL SUPPLEMENTATION ADJUSTMENT TO CAPITALCOST,5645130523.0
176,178.0,2011.0,OTHERS,CAPITAL EXPENDITURE,VIABILITY GAP FUND - PPP,50000000000.0
177,179.0,2011.0,OTHERS,CAPITAL EXPENDITURE,NATIONAL JOB CREATION SCHEME,50000000000.0
178,180.0,2011.0,OTHERS,CAPITAL EXPENDITURE,COUNTERPART FUNDING,4140849631.0
179,181.0,2011.0,OTHERS,CAPITAL EXPENDITURE,QUICK WINS - COMPLETION OF 2008 & 2009 PROJECTS,13103540130.0
180,182.0,2011.0,OTHERS,CAPITAL EXPENDITURE,CONDITIONAL GRANTS AND SOCIAL SAFETY NETS (MDGS),19629286075.0
181,183.0,2011.0,OTHERS,CAPITAL EXPENDITURE,EVALUATION/CONSULTANCY,1080283210.0
182,184.0,2011.0,OTHERS,CAPITAL EXPENDITURE,"PROVISION OF INFRASTRUCTURE, BANDWITH AND CONNECTIVITY TO MDAs BY GALAXY BACKBONE PLC",4088547798.0
183,185.0,2011.0,OTHERS,CAPITAL EXPENDITURE,PAYMENT TO LOCAL CONTRACTORS' DEBT,14104248156.0
184,186.0,2011.0,OTHERS,CAPITAL EXPENDITURE,POLICE REFORMS FUND (SHARE OF FGN),30000000000.0
185,187.0,2011.0,OTHERS,CAPITAL EXPENDITURE,PRESIDENTIAL INTERVENTION PROJECTS,100000000000.0
186,188.0,2011.0,OTHERS,CAPITAL EXPENDITURE,REPAYMENT OF UBA SAFETOWER LOAN,2300000000.0
0,0.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL JUDICIAL COUNCIL,75000000000.0
1,1.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL ASSEMBLY,150000000000.0
2,2.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NIGER-DELTA DEVELOPMENT COMMISSION,48673424630.0
3,3.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,UNIVERSAL BASIC EDUCATION,63117316830.0
4,4.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,INDEPENDENT NATIONAL ELECTORAL COMMISSION (INEC),35000000000.0
5,5.0,2012.0,STATUTORY TRANSFER,NON RECURRENT  EXPENDITURE,NATIONAL HUMAN RIGHT COMMISSION,802354141.0
6,6.0,2012.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,DOMESTIC DEBTS,511980000000.0
7,7.0,2012.0,DEBT SERVICE,NON RECURRENT  EXPENDITURE,FOREIGN DEBTS,47600000000.0
8,8.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PRESIDENCY,25397892030.0
9,9.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE SECRETARY TO THE GOVERNMENT OF THE FEDRATION (SGF),45855825934.0
10,10.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,YOUTH DEVELOPMENT,71030129077.0
11,11.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POLICE AFFAIRS,3532163571.0
12,12.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POLICE FORMATION AND COMMANDS,298818000000.0
13,13.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WOMEN AFFAIRS,1696913517.0
14,14.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AGRICULTURE & RURAL DEVELOPMENT,33464139190.0
15,15.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WATER RESOURCES,8389407511.0
16,16.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AUDITOR-GENERAL FOR THE FEDERATION,2526680601.0
17,17.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INDEPENDENT CORRUPT PRACTICES AND OTHER RELATED OFFENCES COMMISSION,3839900697.0
18,18.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,DEFENCE/MOD/ARMY/AIR FORCE/NAVY,296300000000.0
19,19.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,EDUCATION,342728000000.0
20,20.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,FOREIGN AFFAIRS,39374138203.0
21,21.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,FINANCE,9760789557.0
22,22.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,HEALTH,224512000000.0
23,23.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,TRADE AND INVESTMENT,11516162435.0
24,24.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INFORMATION,19739184847.0
25,25.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,COMMUNICATION TECHNOLOGY,10460474861.0
26,26.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,INTERIOR,151818000000.0
27,27.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE HEAD OF SERVICE OF THE FEDERATION,7361576900.0
28,28.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,JUSTICE,21081036044.0
29,29.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,LABOUR AND PRODUCTIVITY,7965853219.0
30,30.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,POWER,2951452111.0
31,31.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,SCIENCE AND TECHNOLOGY,20465413443.0
32,32.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,TRANSPORT,7499428669.0
33,33.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,PETROLEUM RESOURCES,50965520589.0
34,34.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,WORKS,31588738036.0
35,35.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,LANDS & HOUSING,6182401835.0
36,36.0,2012.0,EXECUTIVE ARM,RECURRENT  EXPENDITURE,MINES & STEEL DEVELOPMENT,11942585877.0
37,37.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,AVIATION,6075447530.0
38,38.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,"NATIONAL SALARIES, INCOMES & WAGES COMMISSION",671382742.0
39,39.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,ENVIRONMENT,13400592253.0
40,40.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,"TOURISM, CULTURE & NATIONAL ORIENTATION",17572852343.0
41,41.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL PLANNING COMMISSION,5853003229.0
42,42.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL SPORTS COMMISSION,7619651054.0
43,43.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE NATIONAL SECURITY ADVISER,59637849877.0
44,44.0,2012.0,EXECUTIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,NIGER-DELTA,2325267110.0
45,45.0,2012.0,LEGISLATIVE ARM,RECURRENT (NON-DEBT) EXPENDITURE,SPECIAL DUTIES,321735112.0
46,46.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FISCAL RESPONSIBILITY COMMISSION,554868403.0
47,47.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,INFRASTRUCTURAL CONCESSION REGULATORY COMMISSION,993908482.0
48,48.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,NATIONAL POPULATION COMMISSION,7388719372.0
49,49.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,CODE OF CONDUCT BUREAU,1410357671.0
50,50.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,CODE OF CONDUCT TRIBUNAL,399770737.0
51,51.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PUBLIC COMPLAINTS COMMISSION,2513807706.0
52,52.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,REVENUE MOBILISATION ALLOCATION & FISCAL COMMISSION,1985209137.0
53,53.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FEDERAL CIVIL SERVICE COMMISSION,1190272495.0
54,54.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,POLICE SERVICE COMMISSION,748055778.0
55,55.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,FEDERAL CHARACTER COMMISSION,2149465108.0
56,56.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,OFFICE OF THE HEAD OF THE CIVIL SERVICE (CIVILIAN PENSION),17000000000.0
57,57.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSIONS,14249000000.0
58,58.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,GRATUITIES,2300000000.0
59,59.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,PENSION RUNNING COST INCLUDING VERIFICATION EXERCISE IN 2022,201000000.0
60,60.0,2012.0,OTHERS,RECURRENT (NON-DEBT) EXPENDITURE,REIMBURSEMENT TO STATES,250000000.0
